book,chapter,verse,start,end
1,1,1,11.0092,16.3289
1,1,2,16.9547,28.2239
1,1,3,28.7238,33.8304
1,1,4,34.2691,42.1804
1,1,5,42.7008,52.8304
1,1,6,53.5156,62.0304
1,1,7,62.5678,75.9137
1,1,8,76.5482,83.8804
1,1,9,85.1888,96.3971
1,1,10,96.8738,106.5785
1,1,11,107.1347,123.4017
1,1,12,123.817,137.8203
1,1,13,138.2148,141.6591
1,1,14,142.064,156.576
1,1,15,157.1096,164.9935
1,1,16,165.4488,179.9312
1,1,17,181.0421,188.0787
1,1,18,188.4836,197.2022
1,1,19,197.4618,200.9476
1,1,20,201.358,214.0165
1,1,21,214.3721,231.1934
1,1,22,231.805,242.5103
1,1,23,242.5798,246.472
1,1,24,246.8994,258.7223
1,1,25,259.3772,272.1234
1,1,26,272.3726,289.5023
1,1,27,289.8479,299.3837
1,1,28,299.664,317.9217
1,1,29,318.5239,337.1053
1,1,30,337.4687,351.0151
1,1,31,351.0151,361.6237
1,2,1,362.0711,366.9557
1,2,2,367.2632,378.4386
1,2,3,378.6413,390.573
1,2,4,393.7456,403.3511
1,2,5,403.9645,419.7573
1,2,6,420.3418,426.3475
1,2,7,426.6306,440.8491
1,2,8,441.8034,450.7098
1,2,9,451.0028,465.2011
1,2,10,466.4454,476.2435
1,2,11,476.5419,485.7369
1,2,12,486.6013,493.4573
1,2,13,493.7969,499.9197
1,2,14,500.204,509.6142
1,2,15,510.1685,518.447
1,2,16,518.5922,526.0027
1,2,17,526.382,535.6142
1,2,18,536.0297,544.5898
1,2,19,545.1644,563.47
1,2,20,563.912,576.3208
1,2,21,577.6483,589.1924
1,2,22,589.5939,599.1609
1,2,23,599.561,613.4189
1,2,24,613.6095,622.3123
1,2,25,622.9485,629.3958
1,3,1,632.159,646.9654
1,3,2,647.4706,653.2977
1,3,3,653.5655,663.9225
1,3,4,664.2049,669.0153
1,3,5,669.6945,681.5955
1,3,6,683.324,700.2218
1,3,7,700.4814,711.5361
1,3,8,713.1972,727.1419
1,3,9,727.6011,733.8846
1,3,10,734.2787,742.8
1,3,11,743.1426,755.059
1,3,12,755.5158,764.4887
1,3,13,765.0754,776.5377
1,3,14,777.8847,794.9884
1,3,15,795.4984,808.0573
1,3,16,808.3688,821.5302
1,3,17,822.6108,841.6053
1,3,18,842.0102,847.7386
1,3,19,848.2505,861.3785
1,3,20,862.1572,869.173
1,3,21,869.5738,877.1856
1,3,22,879.1064,894.8027
1,3,23,895.2284,903.947
1,3,24,904.2585,919.3208
1,4,1,922.5328,931.459
1,4,2,931.7186,941.1847
1,4,3,941.5689,948.5847
1,4,4,948.9156,958.7672
1,4,5,958.9645,967.2989
1,4,6,967.8388,974.9377
1,4,7,975.3322,987.2071
1,4,8,987.7158,998.3448
1,4,9,998.6874,1008.2055
1,4,10,1008.7246,1016.3011
1,4,11,1016.5503,1026.9508
1,4,12,1027.9787,1036.0639
1,4,13,1036.2404,1041.3666
1,4,14,1041.73,1054.5497
1,4,15,1056.0344,1068.6983
1,4,16,1069.1655,1076.9289
1,4,17,1078.5278,1089.5305
1,4,18,1089.8835,1102.2152
1,4,19,1102.5994,1110.4769
1,4,20,1111.7643,1117.4097
1,4,21,1117.8769,1124.7578
1,4,22,1125.2042,1136.643
1,4,23,1137.0583,1152.7955
1,4,24,1153.1174,1159.666
1,4,25,1161.1715,1174.2196
1,4,26,1174.7387,1184.8901
1,5,1,1187.6241,1194.6979
1,5,2,1195.0717,1203.2815
1,5,3,1204.081,1212.7269
1,5,4,1214.6165,1222.463
1,5,5,1222.8783,1232.3963
1,5,6,1233.393,1238.5192
1,5,7,1239.2667,1248.6083
1,5,8,1249.0547,1256.8389
1,5,9,1257.2438,1261.2384
1,5,10,1261.4045,1271.3794
1,5,11,1271.6701,1277.8969
1,5,12,1278.1772,1283.345
1,5,13,1283.6149,1292.8734
1,5,14,1293.4756,1299.5259
1,5,15,1299.8789,1305.8565
1,5,16,1306.2199,1315.5718
1,5,17,1315.8625,1323.0652
1,5,18,1324.6018,1331.9084
1,5,19,1332.2095,1339.5328
1,5,20,1339.7716,1347.3481
1,5,21,1347.5869,1353.7306
1,5,22,1354.0836,1363.477
1,5,23,1363.8092,1369.9322
1,5,24,1370.389,1377.5191
1,5,25,1378.0278,1385.0022
1,5,26,1385.3448,1394.7486
1,5,27,1395.2366,1403.1972
1,5,28,1403.4775,1409.1773
1,5,29,1409.3123,1421.6959
1,5,30,1422.1112,1431.9407
1,5,31,1432.2833,1439.6418
1,5,32,1440.1402,1449.1792
1,6,1,1451.2879,1458.4307
1,6,2,1458.7318,1467.9695
1,6,3,1468.2083,1479.4394
1,6,4,1479.917,1496.7578
1,6,5,1497.9726,1507.9163
1,6,6,1508.5704,1515.4409
1,6,7,1515.8354,1530.0983
1,6,8,1530.4721,1534.8404
1,6,9,1540.8519,1551.2836
1,6,10,1551.6885,1557.6869
1,6,11,1557.9672,1563.8202
1,6,12,1564.5054,1573.1617
1,6,13,1574.2622,1587.4245
1,6,14,1587.4245,1599.237
1,6,15,1600.261,1612.5498
1,6,16,1612.9356,1629.1997
1,6,17,1629.5539,1643.1789
1,6,18,1643.7642,1653.9706
1,6,19,1654.76,1666.0604
1,6,20,1667.6283,1680.0599
1,6,21,1680.359,1690.4182
1,6,22,1691.2434,1697.4035
1,7,1,1700.2882,1711.7752
1,7,2,1712.1259,1725.6096
1,7,3,1726.2698,1734.8539
1,7,4,1735.4934,1748.5955
1,7,5,1748.8637,1754.6525
1,7,6,1756.1997,1762.6487
1,7,7,1763.051,1771.3463
1,7,8,1771.9342,1781.5318
1,7,9,1782.3673,1792.4574
1,7,10,1793.6952,1798.8445
1,7,11,1799.7109,1817.5236
1,7,12,1818.2044,1823.8385
1,7,13,1825.3135,1838.8798
1,7,14,1839.1892,1852.985
1,7,15,1853.8927,1863.1061
1,7,16,1863.6322,1873.8461
1,7,17,1875.579,1885.1843
1,7,18,1885.5247,1893.1496
1,7,19,1893.5622,1904.1062
1,7,20,1904.3847,1911.4216
1,7,21,1911.6898,1924.9053
1,7,22,1926.4525,1934.0155
1,7,23,1934.4075,1951.3262
1,7,24,1951.5428,1957.4864
1,8,1,1960.1722,1972.9564
1,8,2,1973.4928,1981.3652
1,8,3,1981.7365,1990.5786
1,8,4,1991.3832,1998.482
1,8,5,1999.1834,2008.6546
1,8,6,2009.4798,2016.1247
1,8,7,2016.5992,2024.451
1,8,8,2025.0802,2032.8185
1,8,9,2033.097,2051.149
1,8,10,2051.6338,2058.7945
1,8,11,2059.2587,2071.9997
1,8,12,2072.3195,2081.7804
1,8,13,2082.7809,2100.7712
1,8,14,2100.7712,2107.9938
1,8,15,2109.5823,2112.0037
1,8,16,2112.3371,2118.8549
1,8,17,2119.4738,2137.4155
1,8,18,2139.726,2145.1488
1,8,19,2145.5305,2155.9713
1,8,20,2156.6418,2169.0115
1,8,21,2170.0224,2191.2791
1,8,22,2191.6711,2203.556
1,9,1,2206.2354,2215.4851
1,9,2,2215.9183,2231.2278
1,9,3,2231.7539,2241.2148
1,9,4,2241.7615,2245.7658
1,9,5,2246.199,2260.0128
1,9,6,2261.003,2269.2365
1,9,7,2269.7522,2275.6855
1,9,8,2277.9135,2282.4027
1,9,9,2283.0319,2289.8006
1,9,10,2290.2751,2303.5628
1,9,11,2304.027,2316.5823
1,9,12,2318.6762,2330.3858
1,9,13,2330.6437,2337.9591
1,9,14,2338.1757,2345.4808
1,9,15,2345.9347,2358.8923
1,9,16,2360.161,2373.8923
1,9,17,2375.0269,2386.0454
1,9,18,2387.4998,2396.3109
1,9,19,2398.0335,2403.4922
1,9,20,2404.142,2409.7246
1,9,21,2410.4466,2416.3489
1,9,22,2416.844,2424.015
1,9,23,2424.737,2441.316
1,9,24,2442.7291,2449.5185
1,9,25,2449.7334,2456.0856
1,9,26,2456.7251,2464.1231
1,9,27,2464.6801,2474.0069
1,9,28,2475.3891,2480.951
1,9,29,2481.4977,2490.0715
1,10,1,2492.0138,2501.5881
1,10,2,2502.2586,2510.2857
1,10,3,2510.5126,2515.2596
1,10,4,2515.4246,2519.6353
1,10,5,2519.9757,2528.6011
1,10,6,2530.4784,2534.2896
1,10,7,2534.7435,2545.0192
1,10,8,2545.5317,2550.2122
1,10,9,2550.6351,2558.7241
1,10,10,2559.312,2566.8131
1,10,11,2567.2257,2575.2425
1,10,12,2576.4184,2581.8256
1,10,13,2582.0835,2588.6459
1,10,14,2588.8935,2596.9206
1,10,15,2597.2507,2601.2241
1,10,16,2601.7502,2605.6204
1,10,17,2605.7854,2609.3978
1,10,18,2609.5732,2617.5281
1,10,19,2618.2914,2630.558
1,10,20,2630.8984,2638.874
1,10,21,2640.5863,2646.2823
1,10,22,2646.9321,2654.6292
1,10,23,2654.8664,2658.8295
1,10,24,2659.2822,2663.6693
1,10,25,2663.9065,2673.6563
1,10,26,2674.172,2681.5906
1,10,27,2681.9166,2685.8254
1,10,28,2686.0741,2690.2198
1,10,29,2690.4674,2696.0762
1,10,30,2696.8086,2702.4942
1,10,31,2702.783,2708.9225
1,10,32,2710.7585,2720.8487
1,11,1,2727.5392,2734.5369
1,11,2,2735.1971,2742.6156
1,11,3,2743.1417,2757.368
1,11,4,2759.3072,2772.6774
1,11,5,2774.008,2781.9011
1,11,6,2782.4168,2795.6117
1,11,7,2796.1171,2804.5156
1,11,8,2804.9798,2812.5324
1,11,9,2812.7903,2826.439
1,11,10,2828.6258,2838.0867
1,11,11,2838.5406,2847.2072
1,11,12,2847.8055,2853.6871
1,11,13,2854.1616,2863.8597
1,11,14,2864.2929,2868.4314
1,11,15,2869.4835,2877.8511
1,11,16,2878.3153,2883.248
1,11,17,2883.9391,2892.7811
1,11,18,2893.2246,2897.9613
1,11,19,2898.7452,2907.7832
1,11,20,2908.9282,2913.376
1,11,21,2913.8092,2922.053
1,11,22,2923.6882,2926.9414
1,11,23,2927.519,2934.0712
1,11,24,2934.4425,2939.7053
1,11,25,2941.0669,2950.0636
1,11,26,2950.4968,2956.9148
1,11,27,2957.2242,2966.2416
1,11,28,2966.5201,2972.3605
1,11,29,2972.7731,2985.5967
1,11,30,2985.8958,2990.4675
1,11,31,2990.4675,3011.1513
1,11,32,3011.6132,3020.5276
1,12,1,3026.7642,3038.8519
1,12,2,3039.5147,3047.5089
1,12,3,3048.0713,3058.5322
1,12,4,3059.1749,3071.5037
1,12,5,3071.8652,3091.6706
1,12,6,3092.0723,3100.9264
1,12,7,3101.6294,3115.6653
1,12,8,3116.1674,3133.8444
1,12,9,3133.9649,3139.3243
1,12,10,3141.1721,3151.171
1,12,11,3152.6573,3163.801
1,12,12,3164.4236,3174.2016
1,12,13,3174.6435,3183.3168
1,12,14,3184.7026,3192.5124
1,12,15,3192.8137,3202.6519
1,12,16,3203.3348,3213.7756
1,12,17,3214.5589,3223.172
1,12,18,3224.4775,3233.4923
1,12,19,3233.894,3244.134
1,12,20,3244.7165,3253.4902
1,13,1,3257.1293,3263.72
1,13,2,3264.0213,3268.8986
1,13,3,3269.0994,3283.1555
1,13,4,3283.1555,3290.7644
1,13,5,3291.869,3297.2686
1,13,6,3297.2686,3307.0667
1,13,7,3307.4081,3318.4716
1,13,8,3318.7126,3330.5593
1,13,9,3331.905,3342.9282
1,13,10,3343.3299,3359.9166
1,13,11,3360.5191,3370.8796
1,13,12,3371.2612,3379.9346
1,13,13,3380.2359,3385.5953
1,13,14,3387.7845,3401.2581
1,13,15,3401.4188,3409.811
1,13,16,3410.3533,3421.5774
1,13,17,3422.0193,3429.2666
1,13,18,3429.8089,3440.0288
1,14,1,3443.632,3453.9796
1,14,2,3454.1604,3467.3728
1,14,3,3467.8749,3474.3189
1,14,4,3474.58,3481.9679
1,14,5,3482.8115,3502.3868
1,14,6,3502.7684,3509.353
1,14,7,3509.6744,3521.8023
1,14,8,3523.0676,3534.3721
1,14,9,3534.8541,3547.3034
1,14,10,3548.7294,3561.2992
1,14,11,3561.7812,3567.3616
1,14,12,3567.9641,3574.8901
1,14,13,3576.0952,3589.388
1,14,14,3589.8098,3600.7326
1,14,15,3601.777,3612.3986
1,14,16,3613.9451,3622.1766
1,14,17,3622.5984,3635.6903
1,14,18,3637.4176,3645.2273
1,14,19,3645.7294,3653.6998
1,14,20,3653.9006,3662.6142
1,14,21,3663.0159,3670.7654
1,14,22,3671.0064,3678.6755
1,14,23,3679.2178,3688.8552
1,14,24,3689.2167,3702.2083
1,15,1,3705.9532,3718.8479
1,15,2,3719.1893,3730.4335
1,15,3,3731.0762,3739.0667
1,15,4,3739.7295,3749.9694
1,15,5,3750.4514,3765.3912
1,15,6,3765.7126,3770.7305
1,15,7,3772.5783,3782.6174
1,15,8,3782.999,3789.6639
1,15,9,3789.8848,3800.3457
1,15,10,3800.8679,3813.3573
1,15,11,3813.8594,3819.7812
1,15,12,3821.5687,3831.0856
1,15,13,3831.6681,3843.4947
1,15,14,3844.1776,3852.8108
1,15,15,3854.2368,3859.5962
1,15,16,3859.7167,3866.7833
1,15,17,3867.3858,3879.3129
1,15,18,3879.7347,3894.8351
1,15,19,3895.1565,3899.1099
1,15,20,3899.4714,3903.2441
1,15,21,3903.5253,3910.1099
1,16,1,3913.7513,3920.7341
1,16,2,3921.0956,3934.2679
1,16,3,3935.0713,3951.0353
1,16,4,3953.0438,3960.512
1,16,5,3960.7128,3976.6769
1,16,6,3976.8577,3989.568
1,16,7,3991.476,3998.9042
1,16,8,3999.6072,4013.3217
1,16,9,4013.7435,4021.6737
1,16,10,4021.9951,4029.4031
1,16,11,4029.8851,4042.2942
1,16,12,4042.8767,4051.9919
1,16,13,4052.6346,4064.1198
1,16,14,4064.1198,4072.4116
1,16,15,4073.9983,4083.6966
1,16,16,4083.9778,4092.1089
1,17,1,4094.9476,4110.3206
1,17,2,4111.1842,4118.291
1,17,3,4118.6525,4124.8555
1,17,4,4125.458,4132.143
1,17,5,4133.0267,4143.3671
1,17,6,4143.7286,4151.7593
1,17,7,4152.884,4167.0003
1,17,8,4168.6673,4181.8396
1,17,9,4183.0447,4192.9834
1,17,10,4193.3048,4203.6652
1,17,11,4204.087,4211.495
1,17,12,4212.0172,4226.0331
1,17,13,4226.4147,4236.9559
1,17,14,4238.4422,4250.0278
1,17,15,4250.6504,4260.1071
1,17,16,4260.8301,4273.2995
1,17,17,4273.882,4286.3915
1,17,18,4286.7329,4292.9359
1,17,19,4293.2372,4307.9359
1,17,20,4309.382,4324.623
1,17,21,4324.8841,4334.4211
1,17,22,4334.7224,4340.6441
1,17,23,4341.8893,4362.031
1,17,24,4362.8143,4368.7562
1,17,25,4369.1579,4376.1642
1,17,26,4376.7266,4382.5479
